domain,DR,Linking to Competitors,Opportunity Type
limbe.cm tourism / city pages,n/a,city church listings,NAP citation
fako / SW Cameroon Christian directories,n/a,regional church lists,Resource page
Cameroon Tribune / regional faith calendars,n/a,event announcements,Digital PR
Bible schools in Buea,n/a,student church guides,Resource page
diaspora Cameroon fellowships (EU/US),n/a,home-church recommendations,Unlinked mention
Christian radio Buea/Limbe,n/a,guest ministry spots,Podcast/radio
university chaplaincies UB,n/a,local church lists,Resource page
Google Business Profile,n/a,local pack,Citation (claim/verify)
Apple Maps / Bing Places,n/a,maps,NAP consistency
YouTube community posts,n/a,sermon descriptions with url,Owned media
