Publish Date,Content Title,Content Type,Primary Keyword,Intent,Word Count Target,Status
2026-08-27,Complete the remaining five blog bodies currently listed but thin,Blog Post,tithing in church explained,Informational,1600,Briefed
2026-09-03,How to find a Bible-teaching church in Limbe,Blog Post,church in Limbe Cameroon,Local,1200,Planned
2026-09-10,What happens at a prophetic Sunday service?,Blog Post,what is a prophetic church,Informational,1400,Planned
2026-09-17,A guest's guide to Mile 4 Limbe (transport + Sunday),Landing refresh,Sunday service Limbe,Local,900,Planned
2026-09-24,Prevailing prayer: a 7-day practice from James 5,Blog Post,what is prevailing prayer,Informational,1500,Planned
2026-10-01,Youth and digital discipleship in Fako,Blog Post,raising Christian children,Informational,1400,Planned
2026-10-08,How PHMI prays for the sick (pastoral not sensational),Blog Post,healing service Limbe,Informational,1200,Planned
2026-10-15,All-night prayer: what to expect,FAQ expansion,all night prayer Limbe,Local,800,Planned
2026-10-22,Diaspora Sunday: staying connected from abroad,Blog Post,online sermons Cameroon,Informational,1100,Planned
2026-10-29,Choir ministry and worship as discipleship,Blog Post,choir ministry Cameroon,Informational,1000,Planned
2026-11-05,Testimony feature: from broken to blessed (full article),Blog Post,Solution Center Limbe,Navigational,1600,Planned
2026-11-12,Bible study Wednesday: how we open Scripture,Blog Post,Bible study Limbe,Local,1000,Planned
2026-11-19,Prayer request etiquette and care,Blog Post,prayer request Cameroon,Transactional,900,Planned
2026-11-26,Advent / year-end thanksgiving service guide,Event page,church events Limbe,Local,700,Planned
